id,quantity,country,cost
135,64,Brazil,559300
136,65,Brazil,559300
137,66,Brazil,559300
138,67,Brazil,559300
139,68,Brazil,559300
140,69,Brazil,559300
141,70,Brazil,559300
142,71,Brazil,559300
143,72,Brazil,559300
144,1,Canada,34370
145,2,Canada,40620
146,3,Canada,56750
147,4,Canada,56750
148,5,Canada,56750
149,6,Canada,56750
150,7,Canada,112000
151,8,Canada,112000
152,9,Canada,112000
153,10,Canada,112000
154,11,Canada,112000
155,12,Canada,112000
156,13,Canada,157250
157,14,Canada,157250
158,15,Canada,157250
159,16,Canada,157250
160,17,Canada,157250
161,18,Canada,157250
162,19,Canada,157250
163,20,Canada,157250
164,21,Canada,157250
165,22,Canada,157250
166,23,Canada,157250
167,24,Canada,157250
168,25,Canada,191620
169,26,Canada,197870
170,27,Canada,214000
171,28,Canada,214000
172,29,Canada,214000
173,30,Canada,214000
174,31,Canada,269250
175,32,Canada,269250
176,33,Canada,269250
177,34,Canada,269250
178,35,Canada,269250
179,36,Canada,269250
180,37,Canada,314500
181,38,Canada,314500
182,39,Canada,314500
183,40,Canada,314500
184,41,Canada,314500
185,42,Canada,314500
186,43,Canada,314500
187,44,Canada,314500
188,45,Canada,314500
189,46,Canada,314500
190,47,Canada,314500
191,48,Canada,314500
192,49,Canada,348870
193,50,Canada,370000
194,51,Canada,370000
195,52,Canada,370000
196,53,Canada,370000
197,54,Canada,370000
198,55,Canada,370000
199,56,Canada,370000
200,57,Canada,370000
201,58,Canada,370000
202,59,Canada,370000
203,60,Canada,370000
204,61,Canada,370000
205,62,Canada,370000
206,63,Canada,370000
207,64,Canada,370000
208,65,Canada,370000
209,66,Canada,370000
210,67,Canada,370000
211,68,Canada,370000
212,69,Canada,370000
213,70,Canada,370000
214,71,Canada,370000
215,72,Canada,370000
216,1,China,25970
217,2,China,29620
218,3,China,37250
219,4,China,37250
220,5,China,37250
221,6,China,37250
222,7,China,57600
223,8,China,57600
224,9,China,57600
225,10,China,57600
226,11,China,57600
227,12,China,57600
228,13,China,73650
229,14,China,73650
230,15,China,73650
231,16,China,73650
232,17,China,73650
233,18,China,73650
234,19,China,73650
235,20,China,73650
236,21,China,73650
237,22,China,73650
238,23,China,73650
239,24,China,73650
240,25,China,99620
241,26,China,103270
242,27,China,110900
243,28,China,110900
244,29,China,110900
245,30,China,110900
246,31,China,131250
247,32,China,131250
248,33,China,131250
249,34,China,131250
250,35,China,131250
251,36,China,131250
252,37,China,147300
253,38,China,147300
254,39,China,147300
255,40,China,147300
256,41,China,147300
257,42,China,147300
258,43,China,147300
259,44,China,147300
260,45,China,147300
261,46,China,147300
262,47,China,147300
263,48,China,147300
264,49,China,156100
265,50,China,156100
266,51,China,156100
267,52,China,156100
268,53,China,156100
269,54,China,156100
270,55,China,156100
271,56,China,156100
272,57,China,156100
273,58,China,156100
274,59,China,156100
275,60,China,156100
276,61,China,156100
277,62,China,156100
278,63,China,156100
279,64,China,156100
280,65,China,156100
281,66,China,156100
282,67,China,156100
283,68,China,156100
284,69,China,156100
285,70,China,156100
286,71,China,156100
287,72,China,156100
288,1,France,31070
289,2,France,36620
290,3,France,50250
291,4,France,50250
292,5,France,50250
293,6,France,50250
294,7,France,99200
295,8,France,99200
296,9,France,99200
297,10,France,99200
298,11,France,99200
299,12,France,99200
300,13,France,144550
301,14,France,144550
302,15,France,144550
303,16,France,144550
304,17,France,144550
305,18,France,144550
306,19,France,144550
307,20,France,144550
308,21,France,144550
309,22,France,144550
310,23,France,144550
311,24,France,144550
312,25,France,175620
313,26,France,181170
314,27,France,194800
315,28,France,194800
316,29,France,194800
317,30,France,194800
318,31,France,243750
319,32,France,243750
320,33,France,243750
321,34,France,243750
322,35,France,243750
323,36,France,243750
324,37,France,289100
325,38,France,289100
326,39,France,289100
327,40,France,289100
328,41,France,289100
329,42,France,289100
330,43,France,289100
331,44,France,289100
332,45,France,289100
333,46,France,289100
334,47,France,289100
335,48,France,289100
336,49,France,320170
337,50,France,359200
338,51,France,359200
339,52,France,359200
340,53,France,359200
341,54,France,359200
342,55,France,359200
343,56,France,359200
344,57,France,359200
345,58,France,359200
346,59,France,359200
347,60,France,359200
348,61,France,359200
349,62,France,359200
350,63,France,359200
351,64,France,359200
352,65,France,359200
353,66,France,359200
354,67,France,359200
355,68,France,359200
356,69,France,359200
357,70,France,359200
358,71,France,359200
359,72,France,359200
360,1,Germany,36220
361,2,Germany,42370
362,3,Germany,57750
363,4,Germany,57750
364,5,Germany,57750
365,6,Germany,57750
366,7,Germany,110100
367,8,Germany,110100
368,9,Germany,110100
369,10,Germany,110100
370,11,Germany,110100
371,12,Germany,110100
372,13,Germany,154650
373,14,Germany,154650
374,15,Germany,154650
375,16,Germany,154650
376,17,Germany,154650
377,18,Germany,154650
378,19,Germany,154650
379,20,Germany,154650
380,21,Germany,154650
381,22,Germany,154650
382,23,Germany,154650
383,24,Germany,154650
384,25,Germany,190870
385,26,Germany,197020
386,27,Germany,212400
387,28,Germany,212400
388,29,Germany,212400
389,30,Germany,212400
390,31,Germany,264750
391,32,Germany,264750
392,33,Germany,264750
393,34,Germany,264750
394,35,Germany,264750
395,36,Germany,264750
396,37,Germany,309300
397,38,Germany,309300
398,39,Germany,309300
399,40,Germany,309300
400,41,Germany,309300
401,42,Germany,309300
402,43,Germany,309300
403,44,Germany,309300
404,45,Germany,309300
405,46,Germany,309300
406,47,Germany,309300
407,48,Germany,309300
408,49,Germany,345520
409,50,Germany,365100
410,51,Germany,365100
411,52,Germany,365100
412,53,Germany,365100
413,54,Germany,365100
414,55,Germany,365100
415,56,Germany,365100
416,57,Germany,365100
417,58,Germany,365100
418,59,Germany,365100
419,60,Germany,365100
420,61,Germany,365100
421,62,Germany,365100
422,63,Germany,365100
423,64,Germany,365100
424,65,Germany,365100
425,66,Germany,365100
426,67,Germany,365100
427,68,Germany,365100
428,69,Germany,365100
429,70,Germany,365100
430,71,Germany,365100
431,72,Germany,365100
432,1,Hong_kong,24250
433,2,Hong_kong,26750
434,3,Hong_kong,32500
435,4,Hong_kong,32500
436,5,Hong_kong,32500
437,6,Hong_kong,32500
438,7,Hong_kong,50000
439,8,Hong_kong,50000
440,9,Hong_kong,50000
441,10,Hong_kong,50000
442,11,Hong_kong,50000
443,12,Hong_kong,50000
444,13,Hong_kong,66500
445,14,Hong_kong,66500
446,15,Hong_kong,66500
447,16,Hong_kong,66500
448,17,Hong_kong,66500
449,18,Hong_kong,66500
450,19,Hong_kong,66500
451,20,Hong_kong,66500
452,21,Hong_kong,66500
453,22,Hong_kong,66500
454,23,Hong_kong,66500
455,24,Hong_kong,66500
456,25,Hong_kong,90750
457,26,Hong_kong,93250
458,27,Hong_kong,99000
459,28,Hong_kong,99000
460,29,Hong_kong,99000
461,30,Hong_kong,99000
462,31,Hong_kong,116500
463,32,Hong_kong,116500
464,33,Hong_kong,116500
465,34,Hong_kong,116500
466,35,Hong_kong,116500
467,36,Hong_kong,116500
468,37,Hong_kong,133000
469,38,Hong_kong,133000
470,39,Hong_kong,133000
471,40,Hong_kong,133000
472,41,Hong_kong,133000
473,42,Hong_kong,133000
474,43,Hong_kong,133000
475,44,Hong_kong,133000
476,45,Hong_kong,133000
477,46,Hong_kong,133000
478,47,Hong_kong,133000
479,48,Hong_kong,133000
480,49,Hong_kong,148000
481,50,Hong_kong,148000
482,51,Hong_kong,148000
483,52,Hong_kong,148000
484,53,Hong_kong,148000
485,54,Hong_kong,148000
486,55,Hong_kong,148000
487,56,Hong_kong,148000
488,57,Hong_kong,148000
489,58,Hong_kong,148000
490,59,Hong_kong,148000
491,60,Hong_kong,148000
492,61,Hong_kong,148000
493,62,Hong_kong,148000
494,63,Hong_kong,148000
495,64,Hong_kong,148000
496,65,Hong_kong,148000
497,66,Hong_kong,148000
498,67,Hong_kong,148000
499,68,Hong_kong,148000
500,69,Hong_kong,148000
501,70,Hong_kong,148000
502,71,Hong_kong,148000
503,72,Hong_kong,148000
504,1,Indonesia,21200
505,2,Indonesia,24500
506,3,Indonesia,31500
507,4,Indonesia,31500
508,5,Indonesia,31500
509,6,Indonesia,31500
510,7,Indonesia,57200
511,8,Indonesia,57200
512,9,Indonesia,57200
513,10,Indonesia,57200
514,11,Indonesia,57200
515,12,Indonesia,57200
516,13,Indonesia,78300
517,14,Indonesia,78300
518,15,Indonesia,78300
519,16,Indonesia,78300
520,17,Indonesia,78300
521,18,Indonesia,78300
522,19,Indonesia,78300
523,20,Indonesia,78300
524,21,Indonesia,78300
525,22,Indonesia,78300
526,23,Indonesia,78300
527,24,Indonesia,78300
528,25,Indonesia,99500
529,26,Indonesia,102800
530,27,Indonesia,109800
531,28,Indonesia,109800
532,29,Indonesia,109800
533,30,Indonesia,109800
534,31,Indonesia,135500
535,32,Indonesia,135500
536,33,Indonesia,135500
537,34,Indonesia,135500
538,35,Indonesia,135500
539,36,Indonesia,135500
540,37,Indonesia,156600
541,38,Indonesia,156600
542,39,Indonesia,156600
543,40,Indonesia,156600
544,41,Indonesia,156600
545,42,Indonesia,156600
546,43,Indonesia,156600
547,44,Indonesia,156600
548,45,Indonesia,156600
549,46,Indonesia,156600
550,47,Indonesia,156600
551,48,Indonesia,156600
552,49,Indonesia,177800
553,50,Indonesia,194700
554,51,Indonesia,194700
555,52,Indonesia,194700
556,53,Indonesia,194700
557,54,Indonesia,194700
558,55,Indonesia,194700
559,56,Indonesia,194700
560,57,Indonesia,194700
561,58,Indonesia,194700
562,59,Indonesia,194700
563,60,Indonesia,194700
564,61,Indonesia,194700
565,62,Indonesia,194700
566,63,Indonesia,194700
567,64,Indonesia,194700
568,65,Indonesia,194700
569,66,Indonesia,194700
570,67,Indonesia,194700
571,68,Indonesia,194700
572,69,Indonesia,194700
573,70,Indonesia,194700
574,71,Indonesia,194700
575,72,Indonesia,194700
576,1,Japan,25470
577,2,Japan,29120
578,3,Japan,37750
579,4,Japan,37750
580,5,Japan,37750
581,6,Japan,37750
582,7,Japan,59100
583,8,Japan,59100
584,9,Japan,59100
585,10,Japan,59100
586,11,Japan,59100
587,12,Japan,59100
588,13,Japan,75650
589,14,Japan,75650
590,15,Japan,75650
591,16,Japan,75650
592,17,Japan,75650
593,18,Japan,75650
594,19,Japan,75650
595,20,Japan,75650
596,21,Japan,75650
597,22,Japan,75650
598,23,Japan,75650
599,24,Japan,75650
600,25,Japan,101120
601,26,Japan,104770
602,27,Japan,113400
603,28,Japan,113400
604,29,Japan,113400
605,30,Japan,113400
606,31,Japan,134750
607,32,Japan,134750
608,33,Japan,134750
609,34,Japan,134750
610,35,Japan,134750
611,36,Japan,134750
612,37,Japan,151300
613,38,Japan,151300
614,39,Japan,151300
615,40,Japan,151300
616,41,Japan,151300
617,42,Japan,151300
618,43,Japan,151300
619,44,Japan,151300
620,45,Japan,151300
621,46,Japan,151300
622,47,Japan,151300
623,48,Japan,151300
624,49,Japan,147600
625,50,Japan,147600
626,51,Japan,147600
627,52,Japan,147600
628,53,Japan,147600
629,54,Japan,147600
630,55,Japan,147600
631,56,Japan,147600
632,57,Japan,147600
633,58,Japan,147600
634,59,Japan,147600
635,60,Japan,147600
636,61,Japan,147600
637,62,Japan,147600
638,63,Japan,147600
639,64,Japan,147600
640,65,Japan,147600
641,66,Japan,147600
642,67,Japan,147600
643,68,Japan,147600
644,69,Japan,147600
645,70,Japan,147600
646,71,Japan,147600
647,72,Japan,147600
648,1,Malaysia,19820
649,2,Malaysia,23370
650,3,Malaysia,31750
651,4,Malaysia,31750
652,5,Malaysia,31750
653,6,Malaysia,31750
654,7,Malaysia,59200
655,8,Malaysia,59200
656,9,Malaysia,59200
657,10,Malaysia,59200
658,11,Malaysia,59200
659,12,Malaysia,59200
660,13,Malaysia,83050
661,14,Malaysia,83050
662,15,Malaysia,83050
663,16,Malaysia,83050
664,17,Malaysia,83050
665,18,Malaysia,83050
666,19,Malaysia,83050
667,20,Malaysia,83050
668,21,Malaysia,83050
669,22,Malaysia,83050
670,23,Malaysia,83050
671,24,Malaysia,83050
672,25,Malaysia,102870
673,26,Malaysia,106420
674,27,Malaysia,114800
675,28,Malaysia,114800
676,29,Malaysia,114800
677,30,Malaysia,114800
678,31,Malaysia,142250
679,32,Malaysia,142250
680,33,Malaysia,142250
681,34,Malaysia,142250
682,35,Malaysia,142250
683,36,Malaysia,142250
684,37,Malaysia,166100
685,38,Malaysia,166100
686,39,Malaysia,166100
687,40,Malaysia,166100
688,41,Malaysia,166100
689,42,Malaysia,166100
690,43,Malaysia,166100
691,44,Malaysia,166100
692,45,Malaysia,166100
693,46,Malaysia,166100
694,47,Malaysia,166100
695,48,Malaysia,166100
696,49,Malaysia,185920
697,50,Malaysia,196700
698,51,Malaysia,196700
699,52,Malaysia,196700
700,53,Malaysia,196700
701,54,Malaysia,196700
702,55,Malaysia,196700
703,56,Malaysia,196700
704,57,Malaysia,196700
705,58,Malaysia,196700
706,59,Malaysia,196700
707,60,Malaysia,196700
708,61,Malaysia,196700
709,62,Malaysia,196700
710,63,Malaysia,196700
711,64,Malaysia,196700
712,65,Malaysia,196700
713,66,Malaysia,196700
714,67,Malaysia,196700
715,68,Malaysia,196700
716,69,Malaysia,196700
717,70,Malaysia,196700
718,71,Malaysia,196700
719,72,Malaysia,196700
720,1,New_Zealand,26000
721,2,New_Zealand,30500
722,3,New_Zealand,41500
723,4,New_Zealand,41500
724,5,New_Zealand,41500
725,6,New_Zealand,41500
726,7,New_Zealand,80000
727,8,New_Zealand,80000
728,9,New_Zealand,80000
729,10,New_Zealand,80000
730,11,New_Zealand,80000
731,12,New_Zealand,80000
732,13,New_Zealand,110500
733,14,New_Zealand,110500
734,15,New_Zealand,110500
735,16,New_Zealand,110500
736,17,New_Zealand,110500
737,18,New_Zealand,110500
738,19,New_Zealand,110500
739,20,New_Zealand,110500
740,21,New_Zealand,110500
741,22,New_Zealand,110500
742,23,New_Zealand,110500
743,24,New_Zealand,110500
744,25,New_Zealand,136500
745,26,New_Zealand,141000
746,27,New_Zealand,152000
747,28,New_Zealand,152000
748,29,New_Zealand,152000
749,30,New_Zealand,152000
750,31,New_Zealand,190500
751,32,New_Zealand,190500
752,33,New_Zealand,190500
753,34,New_Zealand,190500
754,35,New_Zealand,190500
755,36,New_Zealand,190500
756,37,New_Zealand,221000
757,38,New_Zealand,221000
758,39,New_Zealand,221000
759,40,New_Zealand,221000
760,41,New_Zealand,221000
761,42,New_Zealand,221000
762,43,New_Zealand,221000
763,44,New_Zealand,221000
764,45,New_Zealand,221000
765,46,New_Zealand,221000
766,47,New_Zealand,221000
767,48,New_Zealand,221000
768,49,New_Zealand,247000
769,50,New_Zealand,254500
770,51,New_Zealand,254500
771,52,New_Zealand,254500
772,53,New_Zealand,254500
773,54,New_Zealand,254500
774,55,New_Zealand,254500
775,56,New_Zealand,254500
776,57,New_Zealand,254500
777,58,New_Zealand,254500
778,59,New_Zealand,254500
779,60,New_Zealand,254500
780,61,New_Zealand,254500
781,62,New_Zealand,254500
782,63,New_Zealand,254500
783,64,New_Zealand,254500
784,65,New_Zealand,254500
785,66,New_Zealand,254500
786,67,New_Zealand,254500
787,68,New_Zealand,254500
788,69,New_Zealand,254500
789,70,New_Zealand,254500
790,71,New_Zealand,254500
791,72,New_Zealand,254500
792,1,Philippines,20550
793,2,Philippines,23250
794,3,Philippines,30000
795,4,Philippines,30000
796,5,Philippines,30000
797,6,Philippines,30000
798,7,Philippines,52300
799,8,Philippines,52300
800,9,Philippines,52300
801,10,Philippines,52300
802,11,Philippines,52300
803,12,Philippines,52300
804,13,Philippines,71700
805,14,Philippines,71700
806,15,Philippines,71700
807,16,Philippines,71700
808,17,Philippines,71700
809,18,Philippines,71700
810,19,Philippines,71700
811,20,Philippines,71700
812,21,Philippines,71700
813,22,Philippines,71700
814,23,Philippines,71700
815,24,Philippines,71700
816,25,Philippines,92250
817,26,Philippines,94950
818,27,Philippines,101700
819,28,Philippines,101700
820,29,Philippines,101700
821,30,Philippines,101700
822,31,Philippines,124000
823,32,Philippines,124000
824,33,Philippines,124000
825,34,Philippines,124000
826,35,Philippines,124000
827,36,Philippines,124000
828,37,Philippines,143400
829,38,Philippines,143400
830,39,Philippines,143400
831,40,Philippines,143400
832,41,Philippines,143400
833,42,Philippines,143400
834,43,Philippines,143400
835,44,Philippines,143400
836,45,Philippines,143400
837,46,Philippines,143400
838,47,Philippines,143400
839,48,Philippines,143400
840,49,Philippines,163950
841,50,Philippines,164300
842,51,Philippines,164300
843,52,Philippines,164300
844,53,Philippines,164300
845,54,Philippines,164300
846,55,Philippines,164300
847,56,Philippines,164300
848,57,Philippines,164300
849,58,Philippines,164300
850,59,Philippines,164300
851,60,Philippines,164300
852,61,Philippines,164300
853,62,Philippines,164300
854,63,Philippines,164300
855,64,Philippines,164300
856,65,Philippines,164300
857,66,Philippines,164300
858,67,Philippines,164300
859,68,Philippines,164300
860,69,Philippines,164300
861,70,Philippines,164300
862,71,Philippines,164300
863,72,Philippines,164300
864,1,Russia,37070
865,2,Russia,44120
866,3,Russia,61250
867,4,Russia,61250
868,5,Russia,61250
869,6,Russia,61250
870,7,Russia,114700
871,8,Russia,114700
872,9,Russia,114700
873,10,Russia,114700
874,11,Russia,114700
875,12,Russia,114700
876,13,Russia,154550
877,14,Russia,154550
878,15,Russia,154550
879,16,Russia,154550
880,17,Russia,154550
881,18,Russia,154550
882,19,Russia,154550
883,20,Russia,154550
884,21,Russia,154550
885,22,Russia,154550
886,23,Russia,154550
887,24,Russia,154550
888,25,Russia,191620
889,26,Russia,198670
890,27,Russia,215800
891,28,Russia,215800
892,29,Russia,215800
893,30,Russia,215800
894,31,Russia,269250
895,32,Russia,269250
896,33,Russia,269250
897,34,Russia,269250
898,35,Russia,269250
899,36,Russia,269250
900,37,Russia,309100
901,38,Russia,309100
902,39,Russia,309100
903,40,Russia,309100
904,41,Russia,309100
905,42,Russia,309100
906,43,Russia,309100
907,44,Russia,309100
908,45,Russia,309100
909,46,Russia,309100
910,47,Russia,309100
911,48,Russia,309100
912,49,Russia,326200
913,50,Russia,326200
914,51,Russia,326200
915,52,Russia,326200
916,53,Russia,326200
917,54,Russia,326200
918,55,Russia,326200
919,56,Russia,326200
920,57,Russia,326200
921,58,Russia,326200
922,59,Russia,326200
923,60,Russia,326200
924,61,Russia,326200
925,62,Russia,326200
926,63,Russia,326200
927,64,Russia,326200
928,65,Russia,326200
929,66,Russia,326200
930,67,Russia,326200
931,68,Russia,326200
932,69,Russia,326200
933,70,Russia,326200
934,71,Russia,326200
935,72,Russia,326200
936,1,Singapore,17550
937,2,Singapore,21250
938,3,Singapore,29500
939,4,Singapore,29500
940,5,Singapore,29500
941,6,Singapore,29500
942,7,Singapore,56800
943,8,Singapore,56800
944,9,Singapore,56800
945,10,Singapore,56800
946,11,Singapore,56800
947,12,Singapore,56800
948,13,Singapore,78200
949,14,Singapore,78200
950,15,Singapore,78200
951,16,Singapore,78200
952,17,Singapore,78200
953,18,Singapore,78200
954,19,Singapore,78200
955,20,Singapore,78200
956,21,Singapore,78200
957,22,Singapore,78200
958,23,Singapore,78200
959,24,Singapore,78200
960,25,Singapore,95750
961,26,Singapore,99450
962,27,Singapore,107700
963,28,Singapore,107700
964,29,Singapore,107700
965,30,Singapore,107700
966,31,Singapore,135000
967,32,Singapore,135000
968,33,Singapore,135000
969,34,Singapore,135000
970,35,Singapore,135000
971,36,Singapore,135000
972,37,Singapore,156400
973,38,Singapore,156400
974,39,Singapore,156400
975,40,Singapore,156400
976,41,Singapore,156400
977,42,Singapore,156400
978,43,Singapore,156400
979,44,Singapore,156400
980,45,Singapore,156400
981,46,Singapore,156400
982,47,Singapore,156400
983,48,Singapore,156400
984,49,Singapore,173950
985,50,Singapore,177800
986,51,Singapore,177800
987,52,Singapore,177800
988,53,Singapore,177800
989,54,Singapore,177800
990,55,Singapore,177800
991,56,Singapore,177800
992,57,Singapore,177800
993,58,Singapore,177800
994,59,Singapore,177800
995,60,Singapore,177800
996,61,Singapore,177800
997,62,Singapore,177800
998,63,Singapore,177800
999,64,Singapore,177800
1000,65,Singapore,177800
1001,66,Singapore,177800
1002,67,Singapore,177800
1003,68,Singapore,177800
1004,69,Singapore,177800
1005,70,Singapore,177800
1006,71,Singapore,177800
1007,72,Singapore,177800
1008,1,Spain,33720
1009,2,Spain,40370
1010,3,Spain,56250
1011,4,Spain,56250
1012,5,Spain,56250
1013,6,Spain,56250
1014,7,Spain,114600
1015,8,Spain,114600
1016,9,Spain,114600
1017,10,Spain,114600
1018,11,Spain,114600
1019,12,Spain,114600
1020,13,Spain,160150
1021,14,Spain,160150
1022,15,Spain,160150
1023,16,Spain,160150
1024,17,Spain,160150
1025,18,Spain,160150
1026,19,Spain,160150
1027,20,Spain,160150
1028,21,Spain,160150
1029,22,Spain,160150
1030,23,Spain,160150
1031,24,Spain,160150
1032,25,Spain,193870
1033,26,Spain,200520
1034,27,Spain,216400
1035,28,Spain,216400
1036,29,Spain,216400
1037,30,Spain,216400
1038,31,Spain,274750
1039,32,Spain,274750
1040,33,Spain,274750
1041,34,Spain,274750
1042,35,Spain,274750
1043,36,Spain,274750
1044,37,Spain,320300
1045,38,Spain,320300
1046,39,Spain,320300
1047,40,Spain,320300
1048,41,Spain,320300
1049,42,Spain,320300
1050,43,Spain,320300
1051,44,Spain,320300
1052,45,Spain,320300
1053,46,Spain,320300
1054,47,Spain,320300
1055,48,Spain,320300
1056,49,Spain,354020
1057,50,Spain,377100
1058,51,Spain,377100
1059,52,Spain,377100
1060,53,Spain,377100
1061,54,Spain,377100
1062,55,Spain,377100
1063,56,Spain,377100
1064,57,Spain,377100
1065,58,Spain,377100
1066,59,Spain,377100
1067,60,Spain,377100
1068,61,Spain,377100
1069,62,Spain,377100
1070,63,Spain,377100
1071,64,Spain,377100
1072,65,Spain,377100
1073,66,Spain,377100
1074,67,Spain,377100
1075,68,Spain,377100
1076,69,Spain,377100
1077,70,Spain,377100
1078,71,Spain,377100
1079,72,Spain,377100
1080,1,Taiwan,19720
1081,2,Taiwan,22870
1082,3,Taiwan,29750
1083,4,Taiwan,29750
1084,5,Taiwan,29750
1085,6,Taiwan,29750
1086,7,Taiwan,53600
1087,8,Taiwan,53600
1088,9,Taiwan,53600
1089,10,Taiwan,53600
1090,11,Taiwan,53600
1091,12,Taiwan,53600
1092,13,Taiwan,75150
1093,14,Taiwan,75150
1094,15,Taiwan,75150
1095,16,Taiwan,75150
1096,17,Taiwan,75150
1097,18,Taiwan,75150
1098,19,Taiwan,75150
1099,20,Taiwan,75150
1100,21,Taiwan,75150
1101,22,Taiwan,75150
1102,23,Taiwan,75150
1103,24,Taiwan,75150
1104,25,Taiwan,94870
1105,26,Taiwan,98020
1106,27,Taiwan,104900
1107,28,Taiwan,104900
1108,29,Taiwan,104900
1109,30,Taiwan,104900
1110,31,Taiwan,128750
1111,32,Taiwan,128750
1112,33,Taiwan,128750
1113,34,Taiwan,128750
1114,35,Taiwan,128750
1115,36,Taiwan,128750
1116,37,Taiwan,150300
1117,38,Taiwan,150300
1118,39,Taiwan,150300
1119,40,Taiwan,150300
1120,41,Taiwan,150300
1121,42,Taiwan,150300
1122,43,Taiwan,150300
1123,44,Taiwan,150300
1124,45,Taiwan,150300
1125,46,Taiwan,150300
1126,47,Taiwan,150300
1127,48,Taiwan,150300
1128,49,Taiwan,170020
1129,50,Taiwan,175600
1130,51,Taiwan,175600
1131,52,Taiwan,175600
1132,53,Taiwan,175600
1133,54,Taiwan,175600
1134,55,Taiwan,175600
1135,56,Taiwan,175600
1136,57,Taiwan,175600
1137,58,Taiwan,175600
1138,59,Taiwan,175600
1139,60,Taiwan,175600
1140,61,Taiwan,175600
1141,62,Taiwan,175600
1142,63,Taiwan,175600
1143,64,Taiwan,175600
1144,65,Taiwan,175600
1145,66,Taiwan,175600
1146,67,Taiwan,175600
1147,68,Taiwan,175600
1148,69,Taiwan,175600
1149,70,Taiwan,175600
1150,71,Taiwan,175600
1151,72,Taiwan,175600
1152,1,Thailand,20970
1153,2,Thailand,23620
1154,3,Thailand,30250
1155,4,Thailand,30250
1156,5,Thailand,30250
1157,6,Thailand,30250
1158,7,Thailand,53100
1159,8,Thailand,53100
1160,9,Thailand,53100
1161,10,Thailand,53100
1162,11,Thailand,53100
1163,12,Thailand,53100
1164,13,Thailand,74150
1165,14,Thailand,74150
1166,15,Thailand,74150
1167,16,Thailand,74150
1168,17,Thailand,74150
1169,18,Thailand,74150
1170,19,Thailand,74150
1171,20,Thailand,74150
1172,21,Thailand,74150
1173,22,Thailand,74150
1174,23,Thailand,74150
1175,24,Thailand,74150
1176,25,Thailand,95120
1177,26,Thailand,97770
1178,27,Thailand,104400
